Data_Coleta,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,PrimeiroGenero
2024-01-18 14:14:30,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,2023,PG-13,31 Mar 2023,134 min,"Action, Adventure, Comedy","John Francis Daley, Jonathan Goldstein","Jonathan Goldstein, John Francis Daley, Michael Gilio","Chris Pine, Michelle Rodriguez, Regé-Jean Page","A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",English,"United States, Canada, United Kingdom, Iceland, Ireland, Australia",16 nominations,https://m.media-amazon.com/images/M/MV5BZWM5MTQ3NDMtNGFiMS00Y2E5LWE2ZTUtNzM5MTcyZjM3ODRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.3,"211,403",tt2906216,movie,,"$93,277,026",Paramount Pictures,,True,,Action
2024-01-18 14:14:31,EVERYTHING EVERYWHERE ALL AT ONCE,2022,R,08 Apr 2022,139 min,"Action, Adventure, Comedy","Daniel Kwan, Daniel Scheinert","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"English, Mandarin, Cantonese",United States,Won 7 Oscars. 397 wins & 361 nominations total,https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81.0,7.8,"496,165",tt6710474,movie,07 Jun 2022,"$77,191,785",,,True,,Action
2024-01-18 14:14:32,THE FLASH,2014–2023,TV-PG,07 Oct 2014,43 min,"Action, Adventure, Drama",,"Greg Berlanti, Geoff Johns, Andrew Kreisberg","Grant Gustin, Candice Patton, Danielle Panabaker","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",English,United States,Nominated for 1 Primetime Emmy. 29 wins & 97 nominations total,https://m.media-amazon.com/images/M/MV5BYmMxNGQ4NzYtYmQzNC00N2I2LWI5NzUtMTU5MDczZGEzNDBlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"365,586",tt3107288,series,,,,,True,9.0,Action
2024-01-18 14:14:33,BABYLON,2022,R,23 Dec 2022,189 min,"Comedy, Drama, History",Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Jean Smart","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.","English, Spanish, Italian, Cantonese, French, Hungarian",United States,Nominated for 3 Oscars. 44 wins & 147 nominations total,https://m.media-amazon.com/images/M/MV5BNjlkYjc4NGMtZjc3MS00NjQ3LTk4MmUtMTkwZGZjODE1ZDVlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,7.1,"156,303",tt10640346,movie,31 Jan 2023,"$15,351,455",,,True,,Comedy
2024-01-18 14:14:34,AIR,2023,R,05 Apr 2023,111 min,"Drama, Sport",Ben Affleck,Alex Convery,"Matt Damon, Jason Bateman, Ben Affleck","Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.",English,United States,5 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BYmNlOTNlYjUtM2U3Yy00M2ZjLTkxZDQtN2NiNGZiZDI0ZjE3XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73.0,7.4,"156,576",tt16419074,movie,,"$52,460,106",,,True,,Drama
2024-01-18 14:14:37,AVATAR: THE WAY OF WATER,2022,PG-13,16 Dec 2022,192 min,"Action, Adventure, Fantasy",James Cameron,"James Cameron, Rick Jaffa, Amanda Silver","Sam Worthington, Zoe Saldana, Sigourney Weaver","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",English,United States,Won 1 Oscar. 69 wins & 147 nominations total,https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67.0,7.6,"477,467",tt1630029,movie,28 Mar 2023,"$684,075,767",,,True,,Action
2024-01-18 14:14:39,COCAINE BEAR,2023,R,24 Feb 2023,95 min,"Comedy, Thriller",Elizabeth Banks,Jimmy Warden,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr.","An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine.",English,"United States, Netherlands, New Zealand, Ireland, United Kingdom",5 nominations,https://m.media-amazon.com/images/M/MV5BODAwZDQ5ZjEtZDI1My00MTFiLTg0ZjUtOGE2YTBkOTdjODFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,5.9,"102,347",tt14209916,movie,21 Mar 2023,"$64,670,240",,,True,,Comedy
2024-01-18 14:14:40,TERRIFIER 2,2022,Not Rated,06 Oct 2022,138 min,Horror,Damien Leone,Damien Leone,"Lauren LaVera, David Howard Thornton, Elliott Fullam","After being resurrected by a sinister entity, Art the Clown returns to the timid town of Miles County where he targets a teenage girl and her younger brother on Halloween night.",English,United States,6 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNTc5YWQ2MzAtM2E3Yi00MDUyLWFiYzctMzQ5NWVkMmQ0OTcxXkEyXkFqcGdeQXVyMTU2MDk3MDQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59.0,6.1,"44,120",tt10403420,movie,,"$10,962,499",,,True,,Horror
2024-01-18 14:14:42,THE LITTLE MERMAID,1989,G,17 Nov 1989,83 min,"Animation, Adventure, Family","Ron Clements, John Musker","John Musker, Ron Clements, Hans Christian Andersen","Jodi Benson, Samuel E. Wright, Rene Auberjonois",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,"English, French, Russian",United States,Won 2 Oscars. 16 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOWUyNDA0ZmItMzg2My00YjJhLTk1N2QtYTAxYTc0NzMzNDI0XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88.0,7.6,"287,093",tt0097757,movie,21 May 2017,"$111,543,479",,,True,,Animation
2024-01-18 14:14:43,TÁR,2022,R,28 Oct 2022,158 min,"Drama, Music",Todd Field,Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss","Set in the international world of Western classical music, the film centers on Lydia Tár, widely considered one of the greatest living composer-conductors and the very first female director of a major German orchestra.","English, German, Filipino, French",United States,Nominated for 6 Oscars. 73 wins & 256 nominations total,https://m.media-amazon.com/images/M/MV5BM2I0ZDcyYzItMGEyNi00YWVhLTlmNTQtOWVlYjE1ZGVhNWM0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92.0,7.4,"88,985",tt14444726,movie,,"$6,773,650",,,True,,Drama
2024-01-18 14:14:44,ELEMENTAL,2023,PG,16 Jun 2023,101 min,"Animation, Adventure, Comedy",Peter Sohn,"John Hoberg, Kat Likkel, Brenda Hsueh","Leah Lewis, Mamoudou Athie, Ronnie Del Carmen","Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",English,United States,19 nominations,https://m.media-amazon.com/images/M/MV5BZjYxYWVjMDMtZGRjZS00ZDE4LTk0OWUtMjUyOTI4MmYxNjgwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,7.0,"104,436",tt15789038,movie,15 Aug 2023,"$154,426,697",,,True,,Animation
2024-01-18 14:14:45,MISSING,2023,PG-13,20 Jan 2023,111 min,"Drama, Mystery, Thriller","Nicholas D. Johnson, Will Merrick","Will Merrick, Nicholas D. Johnson, Sev Ohanian","Tim Griffin, Ava Zaria Lee, Nia Long","After her mother goes missing, a young woman tries to find her from home, using tools available to her online.","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjAzYjUwNWUtYTYxOS00MTkzLWJkOTUtOTE4MTE4ODRmNGNhXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,7.1,"55,134",tt10855768,movie,,"$32,502,025",,,True,,Drama
2024-01-18 14:14:47,SCREAM VI,2023,R,10 Mar 2023,122 min,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson","Courteney Cox, Melissa Barrera, Jenna Ortega","In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",English,"United States, Canada",2 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BODBjM2M4YTQtNmJlMS00MGU2LWI4ZGYtZTA1MzdmZDAyMjFkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61.0,6.5,"114,070",tt17663992,movie,25 Apr 2023,"$108,161,389",,,True,,Horror
2024-01-18 14:14:49,SUZUME,2022,PG,14 Apr 2023,122 min,"Animation, Action, Adventure",Makoto Shinkai,Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu",A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.,"Hindi, Japanese, English",Japan,2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNGVkNDc3NjUtNTY5ZS00ZmE0LWE3YzctMDk2OTRlNTdiZWQwXkEyXkFqcGdeQXVyMTU3NDg0OTgx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,7.7,"30,949",tt16428256,movie,,"$10,932,037",,,True,,Animation
2024-01-18 14:15:13,A PORTA AO LADO,2023,,09 Feb 2023,,Drama,Julia Rezende,"L.G. Bayão, Patricia Corso","Letícia Colin, Dan Ferreira, Bárbara Paz","Everything seems to be going well in the stable relationship between Mari and Rafa, until Isis and Fred move into the apartment next door. The new neighbors make no secret of the fact that they are in an open relationship.",Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BZTUzMmQyM2UtNWU5OC00ZWY2LWFkNDctZDk2NjFiNTNlYWVmXkEyXkFqcGdeQXVyMTMxNjE3MzUy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,43,tt21186266,movie,,,,,True,,Drama
2024-01-18 14:15:38,FERVO,2023,,19 Jan 2023,,Comedy,Felipe Joffily,Thiago Gadelha,"Felipe Abib, Marcelo Adnet, Dudu Azevedo",Three ghosts are trapped in a house and haunt each new resident in order to finish their mission on Earth so they can move on to the next life. That is until a couple of architects (Felipe Abib and Georgianna Goes) move to the pla...,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BM2U5YTc2MTMtZTMwMC00MzJlLTgyZWEtMjRhZjFjZjFlZjA4XkEyXkFqcGdeQXVyMjc2MzM5ODc@._V1_SX300.jpg,[],,,23,tt22812908,movie,,,,,True,,Comedy
2024-01-18 14:15:39,RUBY GILLMAN: TEENAGE KRAKEN,2023,PG,30 Jun 2023,91 min,"Animation, Action, Adventure","Kirk DeMicco, Faryn Pearl","Pam Brady, Brian C. Brown, Elliott DiGuiseppi","Jane Fonda, Lana Condor, Toni Collette","A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Hebrew, Persian, Karen, English","United States, Japan, North Korea, Russia, Israel",2 nominations,https://m.media-amazon.com/images/M/MV5BNGM5NzBmNTItMTk5Ni00NmQzLTg1NmUtMDkyY2E2MDE1ZGZiXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50.0,5.7,"8,701",tt27155038,movie,,"$15,753,600",,,True,,Animation
2024-01-18 14:15:40,KNOCK AT THE CABIN,2023,R,03 Feb 2023,100 min,"Horror, Mystery, Thriller",M. Night Shyamalan,"Paul Tremblay, M. Night Shyamalan, Steve Desmond","Dave Bautista, Jonathan Groff, Ben Aldridge","While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",English,"United States, Japan, China",6 nominations,https://m.media-amazon.com/images/M/MV5BZDA0MzcxZTgtMTAzZC00MGJkLTg3YzItZjMzNjkwOTVlODNlXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,6.1,"109,676",tt15679400,movie,21 Feb 2023,"$35,397,980",,,True,,Horror
2024-01-18 14:15:41,SADAKO DX,2022,TV-14,28 Oct 2022,100 min,"Comedy, Horror, Mystery",Hisashi Kimura,"Kôji Suzuki, Yuya Takahashi","Fuka Koshiba, Kazuma Kawamura, Mario Kuroba",People who watch a cursed video suddenly die. These deaths take place all over Japan. Ayaka Ichijo is an extremely smart graduate student with an IQ of 200. Her younger sister happens to watch the cursed video for fun.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BZTcxMzJmMWUtMDNhZC00NDc3LTk5OTEtOThhOWIxYzQxOWU2XkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",,3.7,489,tt19815280,movie,,,,,True,,Comedy
2024-01-18 14:15:42,THE FABELMANS,2022,PG-13,23 Nov 2022,151 min,Drama,Steven Spielberg,"Steven Spielberg, Tony Kushner","Michelle Williams, Gabriel LaBelle, Paul Dano","Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.",English,"United States, India",Nominated for 7 Oscars. 29 wins & 278 nominations total,https://m.media-amazon.com/images/M/MV5BZGM1MzczNmQtMjBmYS00NTRhLWI0MzctNTFkZDc4OGUyODdjXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84.0,7.5,"109,209",tt14208870,movie,13 Dec 2022,"$17,348,945",,,True,,Drama
2024-01-18 14:15:43,ABOUT MY FATHER,2023,PG-13,26 May 2023,90 min,Comedy,Laura Terruso,"Austen Earl, Sebastian Maniscalco","Robert De Niro, Sebastian Maniscalco, Leslie Bibb","When Sebastian tells his old-school Italian immigrant father Salvo that he is going to propose to his all-American girlfriend, Salvo insists on crashing a weekend with her tony parents.","English, Italian",United States,,https://m.media-amazon.com/images/M/MV5BZTUwYmYwMzUtYmIyZS00OWM3LWE3MWEtM2NjYTk0NzhiM2NmXkEyXkFqcGdeQXVyNDAyNjg5MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.7,"11,388",tt8373206,movie,16 Jun 2023,"$12,089,391",,,True,,Comedy
2024-01-18 14:15:45,ROCK DOG 3: BATTLE THE BEAT,2022,TV-Y,24 Jan 2023,90 min,"Animation, Adventure, Comedy",Anthony Bell,Rob Muir,"Graham Hamilton, Ashleigh Ball, Andrew Francis","When the young performers on a music contest show admit they have never heard of Angus Scattergood, Bodi is compelled to join the show to restore the Rock Legend's good name.",English,"United States, China",,https://m.media-amazon.com/images/M/MV5BNTAzODc1ZTgtZjRlZC00N2E4LWExNmQtODFkZGU1NTc2ZTBhXkEyXkFqcGdeQXVyMTU3NzMyMTY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",,4.9,240,tt11207270,movie,,,,,True,,Animation
2024-01-18 14:15:49,NINGUÉM É DE NINGUÉM,2023,,20 Apr 2023,,Drama,Wagner de Assis,Wagner de Assis,"Renata Castro Barbosa, Paloma Bernardi, Carol Castro",,Portuguese,Brazil,,https://m.media-amazon.com/images/M/MV5BMGViMzRhMGYtNTFhNi00MGU1LWIxNzQtYjkxNThkMTk1OWM0XkEyXkFqcGdeQXVyMjMwNTI0MTU@._V1_SX300.jpg,[],,,33,tt27166356,movie,,,,,True,,Drama
